k0,sigma,P_mean,Ds_of_mean_P,mean_Ds
5.000000000000000000e-01,0.000000000000000000e+00,1.000000000000000000e+00,nan,nan
5.000000000000000000e-01,1.000000000000000000e+00,2.000000000000018430e-01,3.999999999999953815e+00,3.999999999999956923e+00
5.000000000000000000e-01,2.000000000000000000e+00,2.000000000000018430e-01,8.697265625000177858e-01,8.697265625000175637e-01
5.000000000000000000e-01,3.000000000000000000e+00,1.130273437499992595e-01,2.771446345256674881e+00,2.771484583428222681e+00
5.000000000000000000e-01,4.000000000000000000e+00,9.558359375000005653e-02,1.724854716503025465e+00,1.724868443998242684e+00
5.000000000000000000e-01,5.000000000000000000e+00,7.181039062500008119e-02,2.443155967375023163e+00,2.443194428848749045e+00
5.000000000000000000e-01,6.000000000000000000e+00,6.049479687499998565e-02,2.144399402118011277e+00,2.144428872962895749e+00
5.000000000000000000e-01,7.000000000000000000e+00,5.018955624999999615e-02,2.399861350637064294e+00,2.399906365809451714e+00
5.000000000000000000e-01,8.000000000000000000e+00,4.328794312499999880e-02,2.337112246425314677e+00,2.337162339378433984e+00
5.000000000000000000e-01,9.000000000000000000e+00,3.754345849999999457e-02,2.435926670820696582e+00,2.435988824725508373e+00
5.000000000000000000e-01,1.000000000000000000e+01,3.312648625000000346e-02,2.438815399565656517e+00,2.438886279695624548e+00
5.000000000000000000e-01,1.100000000000000000e+01,2.946452001999999570e-02,2.485541676677212486e+00,2.485621461374878827e+00
5.000000000000000000e-01,1.200000000000000000e+01,2.646873238699999631e-02,2.503054632043490990e+00,2.503141678122202674e+00
5.000000000000000000e-01,1.300000000000000000e+01,2.394346308620000363e-02,2.531068370154388347e+00,2.531161278831997485e+00
5.000000000000000000e-01,1.400000000000000000e+01,2.180699838011999556e-02,2.549512777832479760e+00,2.549610405532598101e+00
5.000000000000000000e-01,1.500000000000000000e+01,1.997223301360799563e-02,2.569589351736934368e+00,2.569690404407253492e+00
5.000000000000000000e-01,1.600000000000000000e+01,1.838563589464159778e-02,2.585989331534034985e+00,2.586092982102043081e+00
5.000000000000000000e-01,1.700000000000000000e+01,1.700066687129472148e-02,2.601923203090125369e+00,2.602028573041196946e+00
5.000000000000000000e-01,1.800000000000000000e+01,1.578361062402822493e-02,2.616083940973826572e+00,2.616190476430536371e+00
5.000000000000000000e-01,1.900000000000000000e+01,1.470670852217782591e-02,2.629446645761098988e+00,2.629553823708052018e+00
5.000000000000000000e-01,2.000000000000000000e+01,1.374832086645840119e-02,2.641750493393429267e+00,2.641857981848773740e+00
5.000000000000000000e-01,2.100000000000000000e+01,1.289072685056294292e-02,2.653332027768394052e+00,2.653439549891612792e+00
5.000000000000000000e-01,2.200000000000000000e+01,1.211958856103875076e-02,2.664184357929925806e+00,2.664291746417750240e+00
5.000000000000000000e-01,2.300000000000000000e+01,1.142305329288722041e-02,2.674449755101099946e+00,2.674556893249767420e+00
5.000000000000000000e-01,2.400000000000000000e+01,1.079131107922705335e-02,2.684170452155206998e+00,2.684277287159486214e+00
5.000000000000000000e-01,2.500000000000000000e+01,1.021614836210070487e-02,2.693421332190962580e+00,2.693527849102407501e+00
5.000000000000000000e-01,2.600000000000000000e+01,9.690655401974661298e-03,2.702244891254268033e+00,2.702351112940351907e+00
5.000000000000000000e-01,2.700000000000000000e+01,9.208974360066412429e-03,2.710687478703367681e+00,2.710793453306553857e+00
5.000000000000000000e-01,2.800000000000000000e+01,8.766112754214202760e-03,2.718782865439376639e+00,2.718888663045301968e+00
5.000000000000000000e-01,2.900000000000000000e+01,8.357790176042585381e-03,2.726562527882210762e+00,2.726668233666313057e+00
5.000000000000000000e-01,3.000000000000000000e+01,7.980318357321106865e-03,2.734051851054870586e+00,2.734157561788948421e+00
5.000000000000000000e-01,3.100000000000000000e+01,7.630503370147887453e-03,2.741273312329425504e+00,2.741379132151062770e+00
5.000000000000000000e-01,3.200000000000000000e+01,7.305566897700908717e-03,2.748245855638919988e+00,2.748351893169992621e+00
5.000000000000000000e-01,3.300000000000000000e+01,7.003081684219781070e-03,2.754986049156095795e+00,2.755092414666153733e+00
5.000000000000000000e-01,3.400000000000000000e+01,6.720918644939512590e-03,2.761508180100958665e+00,2.761614983314009564e+00
5.000000000000000000e-01,3.500000000000000000e+01,6.457203101402324806e-03,2.767824777778791656e+00,2.767932125902582641e+00
5.000000000000000000e-01,3.600000000000000000e+01,6.210278452390615052e-03,2.773946818356036736e+00,2.774054814488653875e+00
5.000000000000000000e-01,3.700000000000000000e+01,5.978675819343602649e-03,2.779884012979152441e+00,2.779992754748738637e+00
5.000000000000000000e-01,3.800000000000000000e+01,5.761088578634444325e-03,2.785644986432629810e+00,2.785754564898303531e+00
5.000000000000000000e-01,3.900000000000000000e+01,5.556350884726041391e-03,2.791237457190709481e+00,2.791347955947680148e+00
5.000000000000000000e-01,4.000000000000000000e+01,5.363419483384647760e-03,2.796668371171252776e+00,2.796779865654509312e+00
5.000000000000000000e-01,4.100000000000000000e+01,5.181358243963403790e-03,2.801944021563720355e+00,2.802056578521409769e+00
5.000000000000000000e-01,4.200000000000000000e+01,5.009324952768717115e-03,2.807070144444784976e+00,2.807183821568159043e+00
5.000000000000000000e-01,4.300000000000000000e+01,4.846559993517228840e-03,2.812052000795131956e+00,2.812166846486114036e+00
5.000000000000000000e-01,4.400000000000000000e+01,4.692376610286303970e-03,2.816894443827466787e+00,2.817010497090114640e+00
5.000000000000000000e-01,4.500000000000000000e+01,4.546152502565832185e-03,2.821601975831980802e+00,2.821719266273112758e+00
5.000000000000000000e-01,4.600000000000000000e+01,4.407322546204676082e-03,2.826178795389662657e+00,2.826297343316159338e+00
5.000000000000000000e-01,4.700000000000000000e+01,4.275372469423953208e-03,2.830628837030689571e+00,2.830748653631212530e+00
5.000000000000000000e-01,4.800000000000000000e+01,4.149833341928111166e-03,2.834955804357329967e+00,2.835076891957356793e+00
5.000000000000000000e-01,4.900000000000000000e+01,4.030276758594480806e-03,2.839163197847974551e+00,2.839285550227965693e+00
5.000000000000000000e-01,5.000000000000000000e+01,3.916310618455795360e-03,2.843254338167086726e+00,2.843377940934105563e+00
5.000000000000000000e-01,5.100000000000000000e+01,3.807575415483795481e-03,2.847232385766572005e+00,2.847357216770737942e+00
5.000000000000000000e-01,5.200000000000000000e+01,3.703740970726107640e-03,2.851100357382561956e+00,2.851226387170369581e+00
5.000000000000000000e-01,5.300000000000000000e+01,3.604503546151302355e-03,2.854861139958430272e+00,2.854988332255401939e+00
5.000000000000000000e-01,5.400000000000000000e+01,3.509583289542150819e-03,2.858517502422555534e+00,2.858645814638778759e+00
5.000000000000000000e-01,5.500000000000000000e+01,3.418721967274154869e-03,2.862072105684487777e+00,2.862201489437064872e+00
